Timestamp	Rect_id	Rect_x	Rect_y	Rect_W	Rect_H	Class
0.0
0.06432008743286133	18	425	238	213	59	['Lie']
0.10167074203491211	18	425	238	213	59	['Lie']
0.13514113426208496	18	425	238	213	59	['Lie']
0.16788482666015625	18	425	238	213	59	['Lie']
0.20261001586914062	18	425	238	213	59	['Lie']
0.23845529556274414	18	425	238	213	59	['Lie']
0.27225804328918457	18	425	238	213	59	['Lie']
0.3052027225494385	18	425	238	213	59	['Lie']
0.3409423828125	18	425	238	213	59	['Lie']
0.37664151191711426	18	425	238	213	59	['Lie']
0.4091615676879883	18	425	238	213	59	['Lie']
0.4442307949066162	18	425	238	213	59	['Lie']
0.47846031188964844	18	425	238	213	59	['Lie']
0.5121078491210938	18	425	238	213	59	['Lie']
0.5457067489624023	18	425	238	213	59	['Lie']
0.5809857845306396	18	425	240	213	59	['Lie']
0.616326093673706	18	425	240	213	59	['Lie']
0.6615512371063232	18	425	240	213	59	['Lie']
0.7184889316558838	18	425	240	213	59	['Lie']
0.7523148059844971	18	425	240	213	59	['Lie']
0.7882945537567139	18	425	240	213	59	['Lie']
0.8227555751800537	18	425	240	213	59	['Lie']
0.8616933822631836	18	425	240	213	59	['Lie']
0.8913271427154541	18	425	240	213	59	['Lie']
0.928053617477417	18	425	240	213	59	['Lie']
0.9644284248352051	18	425	240	213	59	['Lie']
0.9992141723632812	18	425	240	213	59	['Lie']
1.0418832302093506	18	425	240	213	59	['Lie']
1.097632884979248	18	425	240	213	59	['Lie']
1.1325385570526123	18	425	240	213	59	['Lie']
1.1661884784698486	18	425	240	213	59	['Lie']
1.2136473655700684	18	425	240	213	59	['Lie']
1.2398314476013184	18	425	240	213	59	['Lie']
1.2734394073486328	18	425	240	213	59	['Lie']
1.3068640232086182	18	425	240	213	59	['Lie']
1.3421897888183594	18	425	240	213	59	['Lie']
1.3780076503753662	18	425	240	213	59	['Lie']
1.412858486175537	18	425	240	213	59	['Lie']
1.4443504810333252	18	425	240	213	59	['Lie']
1.4784512519836426	18	425	240	213	59	['Lie']
1.5127055644989014	18	425	240	213	59	['Lie']
1.5464184284210205	18	425	240	213	59	['Lie']
1.5801000595092773	18	425	240	213	59	['Lie']
1.6145520210266113	18	425	240	213	59	['Lie']
1.6505260467529297	18	425	240	213	59	['Lie']
1.6836216449737549	18	425	240	213	59	['Lie']
1.7183432579040527	18	425	240	213	59	['Lie']
1.755563735961914	18	425	240	213	59	['Lie']
1.787381887435913	18	425	240	213	59	['Lie']
1.823096513748169	18	425	240	213	59	['Lie']
1.857968807220459	18	425	240	213	59	['Lie']
1.8906702995300293	18	425	240	213	59	['Lie']
1.9275381565093994	18	425	240	213	59	['Lie']
1.959306001663208	18	425	240	213	59	['Lie']
1.9935269355773926	18	425	240	213	59	['Lie']
2.029022455215454	18	425	240	213	59	['Lie']
2.062450885772705	18	425	240	213	59	['Lie']
2.098435878753662	18	425	240	213	59	['Lie']
2.1330199241638184	18	425	240	213	59	['Lie']
2.1675591468811035	18	425	240	213	59	['Lie']
2.201570749282837	18	425	240	213	59	['Lie']
2.238223075866699	18	425	240	213	59	['Lie']
2.2690787315368652	18	425	240	213	59	['Lie']
2.303199529647827	18	425	240	213	59	['Lie']
2.377988815307617	18	425	240	213	59	['Lie']
2.443190574645996	18	425	240	213	59	['Lie']
2.479968786239624	18	425	240	213	59	['Lie']
2.5116066932678223	18	425	240	213	59	['Lie']
2.5455243587493896	18	425	240	213	59	['Lie']
2.5810153484344482	18	425	240	213	59	['Lie']
2.6146390438079834	18	425	240	213	59	['Lie']
