ΗTimestamp	Rect_id	Rect_x	Rect_y	Rect_W	Rect_H	Class
0.0
0.06309199333190918	12	542	224	98	117	['Lie']
0.09721159934997559	12	542	224	98	117	['Lie']
0.13285565376281738	12	542	224	98	117	['Lie']
0.1690349578857422	12	542	224	98	117	['Lie']
0.20132827758789062	12	542	224	98	117	['Lie']
0.2364950180053711	12	542	224	98	117	['Lie']
0.27481603622436523	12	542	224	98	117	['Lie']
0.30347347259521484	12	542	224	98	117	['Lie']
0.3398888111114502	12	542	224	98	117	['Lie']
0.3729517459869385	12	542	224	98	117	['Lie']
0.41232752799987793	12	542	224	98	117	['Lie']
0.4411606788635254	12	542	224	98	117	['Lie']
0.4817774295806885	12	542	224	98	117	['Lie']
0.5192904472351074	12	542	224	98	117	['Lie']
0.5481457710266113	12	542	224	98	117	['Lie']
0.5890803337097168	12	542	224	98	117	['Lie']
0.6446225643157959	12	542	224	98	117	['Lie']
0.7218356132507324	12	542	224	98	117	['Lie']
0.7520167827606201	12	542	224	98	117	['Lie']
0.7876310348510742	12	542	224	98	117	['Lie']
0.8231642246246338	12	542	224	98	117	['Lie']
0.8592853546142578	12	542	224	98	117	['Lie']
0.8957505226135254	12	542	224	98	117	['Lie']
0.9350295066833496	12	542	224	98	117	['Lie']
0.9680089950561523	12	542	224	98	117	['Lie']
1.0397727489471436	12	542	224	98	117	['Lie']
1.0785441398620605	12	542	224	98	117	['Lie']
1.0995213985443115	12	542	224	98	117	['Lie']
1.1313586235046387	12	542	224	98	117	['Lie']
1.1763064861297607	12	542	224	98	117	['Lie']
1.2001068592071533	12	542	224	98	117	['Lie']
1.2470269203186035	12	542	224	98	117	['Lie']
1.27254056930542	12	542	224	98	117	['Lie']
1.3116869926452637	12	542	224	98	117	['Lie']
1.3461406230926514	12	542	224	98	117	['Lie']
1.379242181777954	12	542	224	98	117	['Lie']
1.4135034084320068	12	542	224	98	117	['Lie']
1.4445631504058838	12	542	224	98	117	['Lie']
1.4815673828125	12	542	224	98	117	['Lie']
1.5097413063049316	12	542	224	98	117	['Lie']
1.5449154376983643	12	542	224	98	117	['Lie']
1.5902814865112305	12	542	224	98	117	['Lie']
1.6245005130767822	12	542	224	98	117	['Lie']
1.6570312976837158	12	542	224	98	117	['Lie']
1.690216064453125	12	542	224	98	117	['Lie']
1.7240581512451172	12	542	224	98	117	['Lie']
1.7519607543945312	12	542	224	98	117	['Lie']
1.7961084842681885	12	542	224	98	117	['Lie']
1.830763578414917	12	542	224	98	117	['Lie']
1.9325265884399414	12	542	224	98	117	['Lie']
1.9630532264709473	12	542	224	98	117	['Lie']
2.003110408782959	12	542	224	98	117	['Lie']
2.0342140197753906	12	542	224	98	117	['Lie']
2.071347713470459	12	542	224	98	117	['Lie']
2.113325357437134	12	542	224	98	117	['Lie']
2.1812984943389893	12	542	224	98	117	['Lie']
2.2446165084838867	12	542	224	98	117	['Lie']
2.2832064628601074	12	542	224	98	117	['Lie']
